id_domaine,libelle_domaine
61,
200,cartes  plans
188,
4,Afrique
74,Afrique
60,Afrique du Nord
68,Afrique du Nord
57,Afrique noire
59,Afrique noire
191,Afrique subsaharienne
123,Age du bronze
50,âge du bronze
107,âge du fer
134,Age du fer
76,agriculture  élévage
34,agriculture  élevage
141,amérindien
143,Amérique
157,Amérique
66,Amérique Centrale
51,Amérique Centrale
33,Amérique du Nord
73,Amérique du Nord
42,Amérique du Sud
63,Amérique du Sud
53,ameublement
139,anthropologie
9,archéologie
189,archéologie
202,archéologie, égyptien
204,archéologie, numismatique, galloromain
12,architecture
192,armurerie
111,art mobilier
179,art pariétal
13,artisanat  industrie
94,arts décoratifs
58,Asie
77,Asie
102,Asie centrale
69,Asie centrale
56,Asie du SudEst
72,Asie du SudEst
100,Asie méridionale
38,Asie occidentale
70,Asie occidentale
46,Asie orientale
15,balnéaire
130,basque
75,batellerie
131,beauxarts
90,botanique
81,broderie
180,carolingien
41,cartes  plans
25,céramique
151,céramique
116,chalcolithique
8,chasse  pêche  cueillette
117,chaudronnerie
197,Chine
106,chypriote
173,cinéma
156,civilisations de l'Islam
96,commerce  économie  finances
171,commerce  économie  finances
84,construction
93,construction
104,copte
95,copte
36,costume  accessoires du costume
87,costume  accessoires du costume
205,costume  accessoires du costume . Asie occidentale
21,croyances  coutumes
196,croyances  coutumes
182,croyances  coutumes  médiéval
194,c��ramique
82,dentellerie
121,design
23,dessin
201,dessin , cartes  plans
181,dessin
135,dinanderie
120,ébénisterie
132,Egyptien
10,égyptien
140,élément d'impression
110,émaillerie
89,énergie
31,enluminure
43,enseignement
64,environnement
129,épigraphie
1,estampe
184,estampe
2,ethnologie
153,ethnologie
126,Etrusque
122,étrusque
109,faune
159,ferronnerie
162,flore
105,galloromain
145,gaulois
167,géographie
142,glyptique
118,grec
79,héraldique
39,hippiqua
71,hippiqua  Asie méridionale
3,histoire
6,horlogerie
37,hygiène  médecine  santé
44,ibérique
47,imprimé
86,inca
65,industrie lithique
112,industrie osseuse
101,inuit
103,inuit
128,italique
30,ivoirerie
199,ivoirerie
14,jeux  sports  loisirs
164,jeux  sports  loisirs
148,lutherie
32,manuscrit
40,marine
168,marine  vie militaire
149,médieval
18,médiéval
91,médiéval
7,mémoire de l'esclavage
119,menuiserie
114,mérovingien
113,mésolithique
92,métallurgie
5,métrologie  instruments de mesure
198,métrologie  instruments de mesure
163,minéralogie
78,miniature
24,mobilier
176,mobilier , sculpture
127,moderne
155,moderne
124,mosaïque
170,MoyenAge
35,musique  chant  danse
174,mycologie
125,Néolithique
172,nouveaux médias
97,numismatique
62,Océanie
158,Océanie
45,oeuvre en 3 dimensions
49,oeuvre textile
175,orfévrerie
26,orfèvrerie
193,orfèvrerie , glyptique
161,Ottoman
108,paléolithique
22,peinture
88,phaléristique
152,phénicien
195,philatelie
19,philatélie
11,photographie
154,photographie
166,plumasserie
85,précolombien
146,punique
115,romain
178,romain
147,sciences  techniques
165,sciences naturelles
29,sculpture
133,sculpture
185,sculpture , Asie orientale
203,sculpture , médiéval
138,sculpture  médiéval
183,sculpture, architecture, médiéval
190,sculpture, ethnologie
67,sellerie
99,serrurerie
169,serrurerie
144,sigillographie
16,spectacle  fête
54,tabletterie
187,tabletterie
98,tapisserie
177,temps modernes
80,textile
20,transports  communications
55,vannerie
160,vannerie
28,verrerie
27,vie domestique
150,vie domestique
17,vie militaire
136,vie militaire
137,vie politique  administrative
52,vie professionnelle
48,vie sociale  culturelle
83,vitrail
186,��ge du fer
