id_etablissement,nom_etablissement
1,musée des Civilisations de l'Europe et de la Méditerranée
1,musée de l'Image
167,musée de l'Image
1,musée d'art RogerQuilliot
1
1,musée des beauxarts
167,musée des Civilisations de l'Europe et de la Méditerranée
1,musée national du château de Pau
167,musée national du château de Pau
633,musée des Civilisations de l'Europe et de la Méditerranée
1,musée du Louvre département des Arts graphiques
1,musée Condé
1,musée Ingres
1,musée national du château de Fontainebleau
1,musée Gustave Moreau
,musée du Louvre département des Arts graphiques
,musée de l'Image
1,musée de la Compagnie des Indes
1,musée Antoine Vivenel
1,musée des beauxarts et d'archéologie
167,musée du Louvre département des Arts graphiques
167,musée de la Faïence
167,musée des beauxarts
167,musée d'Art Histoire et Archéologie
167,musée Ingres
167,musée des Ursulines
167,musée d'Art et d'Histoire
1,musée des Augustins
167,musée national des châteaux de Versailles et de Trianon
167
167,église SaintNicaise
167,musée des beauxarts et musée Marey
167,musée d'art d'archéologie et de sciences naturelles
167,musée Charles Friry
167,musée du Louvre département des Peintures
1,musée de Soissons
,musée des Civilisations de l'Europe et de la Méditerranée
232,musée des Civilisations de l'Europe et de la Méditerranée
167,musée de Soissons
1,musée LouisPhilippe
152,musée des Civilisations de l'Europe et de la Méditerranée
1,musée municipal
1,musée Fournaise
135,musée des Civilisations de l'Europe et de la Méditerranée
304,musée des Civilisations de l'Europe et de la Méditerranée
413,musée des Civilisations de l'Europe et de la Méditerranée
341,musée des Civilisations de l'Europe et de la Méditerranée
312,musée des Civilisations de l'Europe et de la Méditerranée
126,musée des Civilisations de l'Europe et de la Méditerranée
305,musée des Civilisations de l'Europe et de la Méditerranée
424,musée des Civilisations de l'Europe et de la Méditerranée
24,musée des Civilisations de l'Europe et de la Méditerranée
464,musée LouisPhilippe
465,musée LouisPhilippe
152,musée LouisPhilippe
415,musée des Civilisations de l'Europe et de la Méditerranée
402,musée des Civilisations de l'Europe et de la Méditerranée
21,musée des Civilisations de l'Europe et de la Méditerranée
319,musée des Civilisations de l'Europe et de la Méditerranée
465,musée des Civilisations de l'Europe et de la Méditerranée
415,musée LouisPhilippe
135,musée LouisPhilippe
312,musée LouisPhilippe
312,musée de Soissons
312,musée municipal
774,musée des Civilisations de l'Europe et de la Méditerranée
312,musées des Pays de l'Ain
930,musée des Civilisations de l'Europe et de la Méditerranée
304,musée de Soissons
100,musée des Civilisations de l'Europe et de la Méditerranée
415,musée de Soissons
466,musée des Civilisations de l'Europe et de la Méditerranée
304,musée du Temps
304,musée Fournaise
304,musée Jean de La Fontaine
851,musée des Civilisations de l'Europe et de la Méditerranée
341,musée Fournaise
341,musée de Soissons
341,musée Jean de La Fontaine
341,musée municipal
311,musée des Civilisations de l'Europe et de la Méditerranée
135,musée municipal
135,musée de Soissons
,musée de Soissons
312,musée Fournaise
312,musée Jean de La Fontaine
17,musée des Civilisations de l'Europe et de la Méditerranée
897,musée des Civilisations de l'Europe et de la Méditerranée
955,musée des Civilisations de l'Europe et de la Méditerranée
955,musée municipal
551,musée des Civilisations de l'Europe et de la Méditerranée
551,écomusée du CreusotMontceauLesMines
72,écomusée du CreusotMontceauLesMines
955,écomusée du CreusotMontceauLesMines
415,écomusée du CreusotMontceauLesMines
413,écomusée du CreusotMontceauLesMines
72,musée des Civilisations de l'Europe et de la Méditerranée
551,musée des Arts décoratifs
413,musée des Arts décoratifs
415,musée des Arts décoratifs
415,musée d'art moderne et d'art contemporain
955,musée d'art moderne et d'art contemporain
955
551
312
897
340
141
327
413
415
72
341
17
135
337
402
362
100
469
107
424
102
336
304
324
325
21
835
29
406
16
407
942
412
134
437
438
453
265
768
446
153
807
808
809
753
811
374
410
159
94
812
857
868
933
405
935
358
142
232
937
586
257
14
499
6
938
208
180
524
212
90
73
210
231
67
771
379
814
152
217
195
229
717
961
199
486
803
219
537
51
186
534
915
376
183
854
806
228
711
533
188
483
455
172
87
220
221
222
88
239
256
34
302
303
227
548
95
815
863
770
190
236
206
351
508
345
350
434
399
144
777
801
429
941
281
237
433
198
81
78
79
80
881
116
119
238
456
76
77
426
502
595
505
297
600
517
522
529
530
603
394
240
605
620
794
865
428
367
366
368
431
